"Collector","Class","Order","Family","Species_COL","Species_rep","Subspecies_rep","Year","X","Y","Xmin","Xmax","Ymin","Ymax","Site","Country","Sampling_area","Sampling_area_unit","Density","Density_unit","SE","SD","CI90","CI95","CV","Method","Method2","Notes_method","Season","Native","Notes","Ref_N"
"Luca Santini","Amphibia","Anura","Bombinatoridae","Bombina bombina","Bombina bombina",NA,"2016",25,56.8,21,28.2,55.7,58,"Many plots distributed throughout Latvia","Latvia",NA,NA,"0.12","ind/ha",NA,"0.135",NA,NA,NA,"Minimum_Number_Alive",NA,"Audial survey (Estimate of minimum density)",NA,TRUE,"Minimum population size; Central coordinates of Latvia",1
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Psyllophryne didactyla",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0064,"ha","52","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","24 plots 8x8m","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Psyllophryne didactyla",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0002,"ha","1778","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","90 plots 2x1m and litter removal method","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Brachycephalus didactylus",NA,"2006",-42.583,-22.417,NA,NA,NA,NA,"Fazenda Santa Bárbara in the Parque Estadual dos Três Picos (Serra dos Órgãos)","Brazil",0.0025,"ha","400","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","25 plots 5x5m","October – November",TRUE,NA,3
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus didactylus","Brachycephalus didactylus",NA,"1996–1997",-44.217,-23.2,NA,NA,NA,NA,"Atlantic Rainforest near Vila Dois Rios","Brazil",0.0002,"ha","1940","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Counts in plots (2x1m)","August 1996 – October 1997",TRUE,NA,4
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Autumn",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","78","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Spring",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Winter",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Brachycephalus hermogenesi","Brachycephalus hermogenesi",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Summer",TRUE,NA,5
"Francesco Ficetola","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Eleutherodactylus guentheri",NA,"2005",-42.02,-22.55,NA,NA,NA,NA,NA,"Brazil",NA,NA,"3000","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","May–early June",TRUE,NA,7
"Francesco Ficetola","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Eleutherodactylus guentheri",NA,"2004",-42.73,-22.4,NA,NA,NA,NA,"Regua","Brazil",0.0625,"ha","271","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Counts in plots (28 plots of 25x25m)","October– November",TRUE,NA,6
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Eleutherodactylus guentheri",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0002,"ha","56","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","90 plots 2x1m and litter removal method","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Ischnocnema guentheri",NA,"2004",-42.916,-22.483,NA,NA,NA,NA,"Estação Ecológica Estadual Paraíso","Brazil",0.0025,"ha","10","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Plot sampling using 28 quadrats of 5×5m totalling 700m2","September – October",TRUE,NA,8
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Ischnocnema guentheri",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","219","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Summer",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Ischnocnema guentheri",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","78","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Winter",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Ischnocnema guentheri",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","47","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Autumn",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Ischnocnema guentheri",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","203","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Spring",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Ischnocnema guentheri",NA,"2006",-42.583,-22.417,NA,NA,NA,NA,"Fazenda Santa Bárbara in the Parque Estadual dos Três Picos (Serra dos Órgãos)","Brazil",0.0025,"ha","80","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","25 plots 5x5m","October – November",TRUE,NA,3
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema guentheri","Eleutherodactylus guentheri",NA,"1996–1997",-44.217,-23.2,NA,NA,NA,NA,"Atlantic Rainforest near Vila Dois Rios","Brazil",0.0002,"ha","130","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Counts in plots (2x1m)","August 1996 – October 1997",TRUE,NA,4
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema octavioi","Ischnocnema octavioi",NA,"2004",-42.916,-22.483,NA,NA,NA,NA,"Estação Ecológica Estadual Paraíso","Brazil",0.0025,"ha","10","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Plot sampling using 28 quadrats of 5×5m totalling 700m2","September – October",TRUE,NA,8
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema parva","Eleutherodactylus parvus",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0064,"ha","208","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","24 plots 8x8m","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema parva","Eleutherodactylus parvus",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0002,"ha","722","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","90 plots 2x1m and litter removal method","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema parva","Ischnocnema parva",NA,"2006",-42.583,-22.417,NA,NA,NA,NA,"Fazenda Santa Bárbara in the Parque Estadual dos Três Picos (Serra dos Órgãos)","Brazil",0.0025,"ha","50","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","25 plots 5x5m","October – November",TRUE,NA,3
"Luca Santini","Amphibia","Anura","Brachycephalidae","Ischnocnema parva","Eleutherodactylus parvus",NA,"1996–1997",-44.217,-23.2,NA,NA,NA,NA,"Atlantic Rainforest near Vila Dois Rios","Brazil",0.0002,"ha","750","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Counts in plots (2x1m)","August 1996 – October 1997",TRUE,NA,4
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Atelopus cruciger","Atelopus cruciger",NA,"2006–2007",-67.7245,10.43869,NA,NA,NA,NA,"Henri Pittier National Park","Venezuela",0.075,"ha","1240","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"Year–round",TRUE,NA,9
"Luca Santini","Amphibia","Anura","Bufonidae","Atelopus elegans","Atelopus elegans",NA,"2012",-78.2,2.9416665,NA,NA,NA,NA,"Parque Nacional Natural Gorgona (Gorgona Island)","Colombia",NA,NA,"130","males/ha",NA,NA,NA,"80–200",NA,"Distance_Sampling",NA,NA,"March",TRUE,NA,10
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Atelopus hoogmoedi","Atelopus hoogmoedi",NA,"2004",-58.6997,5.15536,NA,NA,NA,NA,"Koemboe Creek in Brownsberg Nature Park","Guyana",0.1,"ha","40","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,"time based density calculation of marked individuals","Dry season",TRUE,NA,11
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Atelopus hoogmoedi","Atelopus hoogmoedi",NA,"2004",-58.6997,5.15536,NA,NA,NA,NA,"Koemboe Creek in Brownsberg Nature Park","Guyana",0.1,"ha","380","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,"time based density calculation of marked individuals","Wet season",TRUE,NA,11
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Atelopus hoogmoedi","Atelopus hoogmoedi",NA,"2004",-55.1965,4.94438,NA,NA,NA,NA,"Koemboe","Suriname",0.1,"ha","70","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"April–August",TRUE,NA,11
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Atelopus ignescens","Atelopus ignescens",NA,"1981",-78.18,-0.52,NA,NA,NA,NA,"Antisana","Ecuador",NA,NA,"4037.5","ind/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,12
"Luca Santini","Amphibia","Anura","Bufonidae","Atelopus spurrelli","Atelopus spurrelli",NA,"2012",-77.366667,6.025,NA,NA,NA,NA,"Ensenada de Utría (Parque Nacional Natural Utría)","Colombia",NA,NA,"290","males/ha",NA,NA,NA,"220–380",NA,"Distance_Sampling",NA,NA,"February",TRUE,NA,13
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Atelopus varius","Atelopus varius",NA,"1982–1983",-84.84,10.28,NA,NA,NA,NA,"Rio lagarto","Costa Rica",NA,NA,"4100","ind/ha",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,12
"Luca Santini","Amphibia","Anura","Bufonidae","Bufo bufo","Bufo bufo",NA,"2016",25,56.8,21,28.2,55.7,58,"Many plots distributed throughout Latvia","Latvia",NA,NA,"0.407","ind/ha",NA,"0.451",NA,NA,NA,"Minimum_Number_Alive",NA,"Audial survey (Estimate of minimum density)",NA,TRUE,"Minimum population size; Central coordinates of Latvia",1
"Luca Santini","Amphibia","Anura","Bufonidae","Dendrophryniscus brevipollicatus","Dendrophryniscus brevipollicatus",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0064,"ha","20","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","24 plots 8x8m","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Bufonidae","Dendrophryniscus brevipollicatus","Dendrophryniscus brevipollicatus",NA,"1997",-44.2,-23.183,NA,NA,NA,NA,"Vila Dois Rios (Ilha Grande)","Brazil",0.0002,"ha","56","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","90 plots 2x1m and litter removal method","January – May",TRUE,NA,2
"Luca Santini","Amphibia","Anura","Bufonidae","Dendrophryniscus brevipollicatus","Dendrophryniscus brevipollicatus",NA,"1996–1997",-44.217,-23.2,NA,NA,NA,NA,"Atlantic Rainforest near Vila Dois Rios","Brazil",0.0002,"ha","40","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Counts in plots (2x1m)","August 1996 – October 1997",TRUE,NA,4
"Luca Santini","Amphibia","Anura","Bufonidae","Duttaphrynus melanostictus","Duttaphrynus melanostictus",NA,"2016–2017",49.37972222,-18.14611111,NA,NA,NA,NA,"Mangarano","Madagascar",NA,NA,"211.25","ind/ha",NA,NA,NA,"143.22–306.14",NA,"Mixture_Models","NM",NA,"December 2016 – January 2017",FALSE,NA,14
"Luca Santini","Amphibia","Anura","Bufonidae","Duttaphrynus melanostictus","Duttaphrynus melanostictus",NA,"2016–2017",49.305,-18.23083333,NA,NA,NA,NA,"Mahasoa","Madagascar",NA,NA,"560.36","ind/ha",NA,NA,NA,"443.99–692.84",NA,"Mixture_Models","NM",NA,"December 2016 – January 2017",FALSE,NA,14
"Luca Santini","Amphibia","Anura","Bufonidae","Duttaphrynus melanostictus","Duttaphrynus melanostictus",NA,"2016–2017",49.34166667,-18.13916667,NA,NA,NA,NA,"Ambodibonara","Madagascar",NA,NA,"109.21","ind/ha",NA,NA,NA,"69.82–173.66",NA,"Mixture_Models","NM",NA,"December 2016 – January 2017",FALSE,NA,14
"Luca Santini","Amphibia","Anura","Bufonidae","Duttaphrynus melanostictus","Duttaphrynus melanostictus",NA,"2016–2017",49.37833333,-18.13027778,NA,NA,NA,NA,"Barikadimy Campus of the University of Tomasina","Madagascar",NA,NA,"73.4","ind/ha",NA,NA,NA,"41.18–139.64",NA,"Mixture_Models","NM",NA,"December 2016 – January 2017",FALSE,NA,14
"Luca Santini","Amphibia","Anura","Bufonidae","Duttaphrynus melanostictus","Duttaphrynus melanostictus",NA,"2016–2017",49.3575,-18.1425,NA,NA,NA,NA,"Farafaty","Madagascar",NA,NA,"48.34","ind/ha",NA,NA,NA,"16.11–109.21",NA,"Mixture_Models","NM",NA,"December 2016 – January 2017",FALSE,NA,14
"Luca Santini","Amphibia","Anura","Bufonidae","Duttaphrynus melanostictus","Duttaphrynus melanostictus",NA,"2016–2017",49.36861111,-18.16861111,NA,NA,NA,NA,"Amparihilava","Madagascar",NA,NA,"93.09","ind/ha",NA,NA,NA,"60.87–153.96",NA,"Mixture_Models","NM",NA,"December 2016 – January 2017",FALSE,NA,14
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",-3.4,54.3,NA,NA,NA,NA,"Drigg","United Kingdom",800,"ha","1.4","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",-3.2,54.1,NA,NA,NA,NA,"North Walney","United Kingdom",150,"ha","0.59","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",-0.6,53.6,NA,NA,NA,NA,"Winterton","United Kingdom",325,"ha","0.71","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",-0.7,51.1,NA,NA,NA,NA,"Woolmer","United Kingdom",20,"ha","3.38","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",-3,53.6,NA,NA,NA,NA,"Ainsdale","United Kingdom",110,"ha","6.31","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",-3.247,54.166,NA,NA,NA,NA,"Sandscale","United Kingdom",200,"ha","3.38","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",0.8,52.9,NA,NA,NA,NA,"Holkham","United Kingdom",100,"ha","1.3","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Epidalea calamita","Bufo calamita",NA,"1980–1989",-3,53.5,NA,NA,NA,NA,"Altcar","United Kingdom",150,"ha","3.92","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Spawn string count",NA,TRUE,"Spawn estimates are multiplied by two",15
"Luca Santini","Amphibia","Anura","Bufonidae","Ingerophrynus biporcatus","Ingerophrynus biporcatus",NA,"2020",104.01,-1.06,NA,NA,NA,NA,"Simbur Naik village (Sumatra island)","Indonesia",NA,NA,"10","ind/ha",NA,NA,NA,NA,NA,"Minimum_Number_Alive",NA,NA,"December",TRUE,"Month and year of sampling not reported in the paper but communicated by the lead author",16
"Luca Santini","Amphibia","Anura","Bufonidae","Rhinella abei","Rhinella abei",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Summer",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Bufonidae","Rhinella abei","Rhinella abei",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","47","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Autumn",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Bufonidae","Rhinella abei","Rhinella abei",NA,"2009–2010",-48.266667,-25.15,NA,NA,NA,NA,"Reserva Particular do Patrimônio Natural Salto Morato","Brazil",0.256,"ha","16","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Count in plots","Spring",TRUE,NA,5
"Luca Santini","Amphibia","Anura","Bufonidae","Rhinella icterica","Rhinella icterica",NA,"2005",-44.59,-22.364,NA,NA,NA,NA,"Marimbondo Farm within the APA Serra da Mantiqueira","Brazil",0.0025,"ha","10","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct","Plot sampling (30 quadrants 5x5m)","November",TRUE,"The other two densities reported are for species not identified at the species level",17
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Rhinella margaritifera","Rhinella margaritifera",NA,"2011",-52.587,3.994,NA,NA,NA,NA,"Nouragues Biological Research Station (French Guiana)","France",0.03,"ha","1333","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"January–June",TRUE,NA,18
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Rhinella margaritifera","Rhinella margaritifera",NA,"2011",-52.587,3.992,NA,NA,NA,NA,"Nouragues Biological Research Station (French Guiana)","France",0.03,"ha","433","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"January–June",TRUE,NA,18
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Rhinella margaritifera","Rhinella margaritifera",NA,"2011",-52.587,3.999,NA,NA,NA,NA,"Nouragues Biological Research Station (French Guiana)","France",0.03,"ha","433","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"January–June",TRUE,NA,18
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Rhinella margaritifera","Rhinella margaritifera",NA,"2011",-52.581,4.003,NA,NA,NA,NA,"Nouragues Biological Research Station (French Guiana)","France",0.03,"ha","433","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"January–June",TRUE,NA,18
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Rhinella margaritifera","Rhinella margaritifera",NA,"2011",-52.581,4.005,NA,NA,NA,NA,"Nouragues Biological Research Station (French Guiana)","France",0.03,"ha","133","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"January–June",TRUE,NA,18
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Rhinella margaritifera","Rhinella margaritifera",NA,"2011",-52.587,3.999,NA,NA,NA,NA,"Nouragues Biological Research Station (French Guiana)","France",0.03,"ha","1666","ind/ha",NA,NA,NA,NA,NA,"Mark_Recapture",NA,NA,"January–June",TRUE,NA,18
"Luca Santini","Amphibia","Anura","Bufonidae","Rhinella marina","Bufo marinus",NA,"2001–2002",-66.2,18.45,NA,NA,NA,NA,"Sebana Seca","Puerto Rico",NA,NA,"5.6","ind/ha",NA,NA,NA,NA,NA,"Counts","Indirect","Audio strip transect and visual encounter surveys","February 2001 – March 2002",FALSE,NA,19
"Francesco Ficetola","Amphibia","Anura","Bufonidae","Rhinella ornata","Chaunus ornatus",NA,"2005",-42.02,-22.55,NA,NA,NA,NA,NA,"Brazil",NA,NA,"2000","ind/ha",NA,NA,NA,NA,NA,"Counts","Direct",NA,"May–early June",TRUE,NA,7
"Francesco Ficetola","Amphibia","Anura","Centrolenidae","Cochranella granulosa","Cochranella granulosa",NA,"2002",-83.4046,8.81,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.28,"ha","10.71","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Centrolenidae","Cochranella granulosa","Cochranella granulosa",NA,"2002",-83.3965,8.8186,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.28,"ha","92.86","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Centrolenidae","Cochranella granulosa","Cochranella granulosa",NA,"2002",-83.3986,8.8191,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.28,"ha","57.14","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.4055,8.8151,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.1,"ha","1.13","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.4062,8.813,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",1.27,"ha","14.98","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.41198,8.8114,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.22,"ha","2.4","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.4148,8.8121,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.22,"ha","2.4","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.3965,8.8186,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.11,"ha","1.2","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.3979,8.80898,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",1.52,"ha","17.92","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.4046,8.81,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",5.3,"ha","63.33","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.3972,8.8104,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",1.36,"ha","16.19","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.3994,8.8177,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",9.54,"ha","114.29","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.3986,8.8191,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.22,"ha","2.4","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.403,8.8118,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",4.73,"ha","56.67","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
"Francesco Ficetola","Amphibia","Anura","Craugastoridae","Craugastor fitzingeri","Craugastor fitzingeri",NA,"2002",-83.4131,8.8137,NA,NA,NA,NA,"Humedale terraba sierpe","Costa Rica",0.04,"ha","0.27","males/ha",NA,NA,NA,NA,NA,"Counts",NA,"Multiple linear regression to impute abundances","Late dry season – beginning of rainy season",TRUE,"Sex ratio assumed to be 1:1",20
